4,24,36,88,36,88,0
0,1,12,81,0,143,0
0,10,117,149,117,149,0
4,23,60,2,28,45,0
0,6,2,4,2,4,0
1,22,30,104,0,0,0
0,43,64,51,64,51,0
0,0,20,203,20,203,0
0,0,54,55,52,138,0
22,23,49,30,49,30,0
0,0,19,107,33,34,0
19,6,5,25,28,128,0
0,0,18,56,18,56,0
84,68,3,25,77,9,0
0,42,118,115,105,228,0
5,43,3,9,3,9,0
1,0,1,4,0,10,1
0,3,7,45,11,38,1
9,25,65,71,65,71,0
0,12,93,55,93,55,1
0,31,25,58,1,135,1
24,59,13,34,13,34,0
0,0,203,189,70,152,0
12,7,0,84,46,133,0
0,49,20,6,20,6,0
0,13,96,50,54,28,1
4,7,69,39,10,12,1
18,41,126,8,12,35,1
10,32,133,125,105,115,0
0,0,122,117,40,122,0
21,53,31,145,45,26,0
45,26,56,103,4,8,1
2,24,47,2,47,2,0
10,27,28,46,28,46,1
0,36,43,81,23,79,1
7,38,39,1,39,1,0
21,51,32,46,146,103,1
0,2,50,68,50,68,1
13,25,50,159,50,159,0
32,66,41,62,0,0,0
12,58,66,273,66,273,0
0,10,87,140,87,140,0
0,5,97,32,135,137,0
0,0,65,154,40,189,0
18,15,64,192,0,0,0
0,0,22,221,23,28,1
0,2,20,84,14,10,0
5,17,15,15,15,15,1
15,7,70,6,70,6,1
24,36,71,21,71,21,0
15,41,53,142,35,146,0
6,18,65,47,65,47,1
7,12,39,66,39,66,0
48,42,148,43,148,43,1
2,14,38,102,38,102,0
4,14,31,98,108,136,0
10,17,48,94,48,94,0
27,63,53,35,101,119,0
2,48,32,125,32,125,0
25,31,72,42,72,42,0
0,1,63,169,63,169,0
63,169,0,15,0,15,0
0,59,34,180,0,0,0
10,3,11,1,0,34,0
21,39,34,113,38,40,0
1,19,0,24,0,41,1
48,77,35,28,6,6,1
10,47,35,123,95,144,0
0,0,41,95,75,51,1
0,48,27,178,71,77,1
0,0,30,116,30,116,0
14,10,42,100,0,0,0
0,12,48,74,17,70,0
16,40,52,167,0,0,1
